"id","course_no","question_no","similarity","created_at"
230,325361,336,0.728320419485766,2026-09-14 11:58:53.318
231,330387,336,0.7222036375688953,2026-09-14 11:58:53.318
232,330479,338,0.6761799989500361,2026-09-14 11:58:53.318
233,324947,343,0.7278075837325335,2026-09-14 11:58:53.318
234,331308,343,0.6973415640695997,2026-09-14 11:58:53.318
235,329987,343,0.6830620915769288,2026-09-14 11:58:53.318
236,324971,344,0.6768148967626438,2026-09-14 11:58:53.318
237,329013,345,0.7134852086075595,2026-09-14 11:58:53.318
238,324971,345,0.6893687115977434,2026-09-14 11:58:53.318
239,324178,345,0.6783945917213818,2026-09-14 11:58:53.318
240,329643,347,0.6897197438547132,2026-09-14 11:58:53.318
241,324947,350,0.6905829554062878,2026-09-14 11:58:53.318
242,324178,350,0.6885898214090387,2026-09-14 11:58:53.318
243,329013,350,0.6826437469361235,2026-09-14 11:58:53.318
244,324178,355,0.688323599915244,2026-09-14 11:58:53.318
245,329013,355,0.6837831611925419,2026-09-14 11:58:53.318
246,324971,355,0.6724729482757166,2026-09-14 11:58:53.318
247,324188,359,0.6979908635464693,2026-09-14 11:58:53.318
